n,d_first,d_last,d_mean,d_centroid,tour_len,hop,Rg2,E_excursion,E_tour,E_hover,M,Emax,K,seed,uniform_w
11,511.9035327527107,132.1221542261498,366.695241388197,333.58525149156804,1514.1148038410597,151.41148038410597,48777.32571124371,4830.192652341453,11355.861028807947,327.8887486038135,50,50000,3,772250,0
16,653.0897259457862,142.55950809110857,367.86187510348293,327.817160502904,1354.2560423444133,90.28373615629422,40767.78967925715,5967.369255276711,10156.9203175831,456.74229224166146,50,50000,3,772250,0
13,256.9903444877644,112.25548798912229,346.68142772943185,207.6220539875046,1742.6889291822486,145.22407743185406,104330.95525286574,2769.34374357665,13070.166968866864,379.4838533969143,50,50000,3,772250,0
9,331.4505904242088,190.04151745898727,316.60641607342916,191.09242782622906,1106.3320838356867,138.29151047946084,68033.12676184894,3911.190809123971,8297.49062876765,241.1216716002648,50,50000,4,4474730,0
8,392.9209138733534,152.4944418427394,406.0169966167523,348.1554793571444,1079.7621501099238,154.25173572998912,53858.56717418427,4090.615167870696,8098.216125824429,257.28160852036666,50,50000,4,4474730,0
9,393.7897256104818,156.76310920803283,235.87632771788628,144.32782984035802,1023.4979580151228,127.93724475189035,39510.137564370925,4129.14626113886,7676.234685113421,311.4263933332079,50,50000,4,4474730,0
9,522.5906904795768,179.34654506109607,417.8674242444,397.6899349792918,921.0635788437205,115.13294735546506,35575.55901691504,5264.529266555047,6907.9768413279035,251.02215861411926,50,50000,4,4474730,0
15,211.01134558364893,107.88394399518006,333.2054840704253,258.2502430219196,1286.596021226132,91.89971580186658,55070.79471748069,2391.7146718412173,9649.470159195991,391.2016059349273,50,50000,4,9944578,0
11,172.5437409334057,273.8184890306461,343.25575551321975,295.63567010685415,1104.4017400844093,110.44017400844093,44174.10005815656,3347.7167247303887,8283.01305063307,325.45317297500736,50,50000,4,9944578,0
9,279.28561296523634,290.1585525340235,357.1162260320984,301.9322655636217,985.2265893951901,123.15332367439876,48495.449410060784,4270.831241244448,7389.199420463926,235.2874799065963,50,50000,4,9944578,0
6,447.4732599469257,178.28375377544987,356.24979967677905,290.5357436504643,966.4136046208384,193.28272092416768,52170.27463076314,4693.177602917816,7248.102034656288,175.56619688808212,50,50000,4,9944578,0
7,402.3459997977377,187.75220517590407,367.87672116967144,285.4762232239875,972.7231760738293,162.12052934563823,61546.74614321808,4425.736537302313,7295.42382055372,214.46472808006217,50,50000,4,9925823,0
10,499.95593140619786,156.67658528882106,447.29669062438114,411.5346371614442,961.1716785194594,106.79685316882882,55698.640288280425,4924.743875212642,7208.787588895946,255.5785113733181,50,50000,4,9925823,0
10,194.15735081237236,224.9617254670912,291.59793668087,251.28515829103927,1167.8028562625889,129.75587291806542,30362.852849201783,3143.393072095977,8758.521421969417,267.2842918683651,50,50000,4,9925823,0
12,168.10777912304764,227.47032409291285,346.9522962045341,334.6024608586941,940.3705562547431,85.48823238679482,20515.82027719066,2966.8357741197037,7052.779171910573,413.2931615291587,50,50000,4,9925823,0
10,154.69714300549947,67.78415834045411,239.99287197790932,196.64890386902482,1199.6182398720887,133.2909155413432,29004.73637630666,1668.6097600946518,8997.136799040665,312.675695259949,50,50000,4,3820097,0
6,626.9257667452777,191.0766355624218,424.1526008709058,400.28512263812314,631.1065100436581,126.22130200873161,46853.868577711786,6135.018017307746,4733.298825327436,206.10710090980504,50,50000,4,3820097,0
8,584.7428631912446,80.38001333038373,378.16895104450975,357.69771597518763,805.085419870694,115.01220283867056,45006.595783682744,4988.421573912212,6038.140649030204,167.4105007442463,50,50000,4,3820097,0
7,375.3320112094633,239.91582201522604,270.0168903721011,86.46855820459925,953.0053561496735,158.8342260249456,70436.55758167889,4614.3587491851695,7147.540171122551,193.2752586082907,50,50000,4,3820097,0
11,144.21180827286344,133.70431831584054,333.7783580717792,293.3877693217618,1298.8565611515537,129.88565611515537,42264.83828524037,2084.3709494152795,9741.424208636652,310.6952990684334,50,50000,4,9535879,0
11,375.23429866576856,68.08890671666794,393.2221162748283,376.3124428016953,1183.353740285315,118.3353740285315,32872.662424539325,3324.924040368274,8875.153052139864,271.5387072077258,50,50000,4,9535879,0
10,397.2996642919975,182.30691643187558,385.34143476657056,334.469407394847,1047.1882142275706,116.35424602528562,42391.464806185024,4347.049355429048,7853.91160670678,294.61881635325534,50,50000,4,9535879,0
8,197.9140837459142,177.73376928315636,356.3513275301635,351.10484173727366,1254.3080937779278,179.18687053970396,38508.027583642746,2817.3588977180293,9407.310703334459,201.68582787031264,50,50000,4,9535879,0
7,166.5278613009356,168.61086857166467,319.3938332391394,289.0798246036239,972.1764852850117,162.0294142141686,33943.29796071427,2513.540474044502,7291.323639637588,231.09587140522697,50,50000,4,8271480,0
