n,d_first,d_last,d_mean,tour_len,hop,E_excursion,E_tour,E_hover,M,Emax,K,seed
4,339.37947463540934,178.28375377544987,295.17581603613405,211.13061326374023,70.37687108791341,3882.4742130814443,1583.4795994780518,85.67481060753175,50,25000,4,9944578
5,327.53249795668967,224.9617254670912,278.2026791461694,241.07465489359723,60.26866372339931,4143.706675678357,1808.0599117019792,126.31339734877723,50,25000,4,9925823
3,168.10777912304764,156.67658528882106,184.37791415762936,410.69028750284446,205.34514375142223,2435.8827330890153,3080.1771562713334,102.92081221244077,50,25000,4,9925823
6,216.58072850446078,227.47032409291285,277.34908304386454,356.3650832882929,71.27301665765859,3330.3828944803026,2672.7381246621967,239.11050310795164,50,25000,4,9925823
2,351.0058812610844,187.75220517590407,269.37904321849425,242.56480657920076,242.56480657920076,4040.6856482774137,1819.2360493440058,77.37520306033183,50,25000,4,9925823
4,257.172077937297,101.20365172999608,222.9274514236431,433.580077384389,144.526692461463,2687.817972504698,3251.8505803829175,133.10358668117766,50,25000,4,3820097
6,213.58022561698797,154.69714300549947,205.64436075880704,414.8236020782917,82.96472041565833,2762.0802646686557,3111.1770155871877,170.032472579983,50,25000,4,3820097
3,225.55078500018496,80.38001333038373,160.4596227597518,229.84633520475774,114.92316760237887,2294.480987479265,1723.847514035683,61.605106595416444,50,25000,4,3820097
4,332.8296617609968,67.78415834045411,203.47393276500011,376.5428209579476,125.5142736526492,3004.603650760882,2824.071157184607,126.16124242539814,50,25000,4,3820097
4,292.81946942209584,133.70431831584054,220.69343726721155,251.46226435975268,83.82075478658423,3198.9284080345224,1885.966982698145,128.74940567072062,50,25000,4,9535879
4,306.32926687153804,68.08890671666794,253.75200438967204,341.0942801139434,113.69809337131447,2808.1363019115447,2558.2071008545754,46.34364923677198,50,25000,4,9535879
3,363.02842656823793,182.30691643187558,299.10470595264695,248.45285385959016,124.22642692979508,4090.0150725008516,1863.3964039469263,99.71889102484961,50,25000,4,9535879
5,164.3256976217847,144.21180827286344,173.37057726369684,228.19046786352718,57.047616965881794,2314.031294209861,1711.4285089764537,134.4934388423269,50,25000,4,9535879
3,226.54917056478072,166.5278613009356,200.1522494995387,358.9241089803172,179.4620544901586,2948.0777389928726,2691.930817352379,68.9594188272774,50,25000,4,8271480
5,237.44550313644075,101.96101676663248,149.90539403798726,413.2490426776216,103.3122606694054,2545.5488992730493,3099.3678200821623,153.40999068320514,50,25000,4,8271480
2,348.829327370942,222.16785658063787,285.49859197578996,138.16630099131984,138.16630099131984,4282.478879636849,1036.2472574348988,68.40597340486208,50,25000,4,8271480
3,370.9250818345306,78.18233191857247,226.75907606455897,371.63842352735594,185.81921176367797,3368.305603148273,2787.2881764551694,89.21094513628078,50,25000,4,8271480
5,90.41342549758544,171.9344203483549,179.50984517024744,528.1390311802638,132.03475779506596,1967.6088438445527,3961.0427338519785,106.08687859529886,50,25000,4,6394530
4,277.01189229300707,137.39439692843226,220.4500112412495,387.62320740791404,129.207735802638,3108.047169160795,2907.174055559355,127.29058213241767,50,25000,4,6394530
4,335.446599592523,94.30083071389777,211.5306159299115,309.1905511375577,103.06351704585256,3223.1057272981557,2318.9291335316825,139.94940187343857,50,25000,4,6394530
